Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Consume added sugar?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Travel on a plane?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Have any alcoholic drinks?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Dim lights after sunset?,true,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Have any caffeine? ,true,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Experiencing COVID-19 symptoms?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Consume dairy?,true,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,View a screened device while in bed?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Fever / No Fever,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Consume fruits and/or vegetables?,true,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Follow a gluten-free diet?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Hydrate sufficiently?,true,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Injured / Not Injured,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Follow an intermittent fasting diet?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Eat any food close to bedtime?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Consume meat?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,See direct sunlight upon waking up?,true,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Read (non-screened device) while in bed?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Use a sauna?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Share your bed?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Sick / Not Sick,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Sleep in the same bed as usual?,true,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Snack in between meals?,true,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Experience any stress?,false,
2023-01-25 23:58:48,2023-01-26 23:52:06,UTC-06:00,Work late?,true,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Consume added sugar?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Travel on a plane?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Have any alcoholic drinks?,true,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Dim lights after sunset?,true,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Have any caffeine? ,true,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Experiencing COVID-19 symptoms?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Consume dairy?,true,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,View a screened device while in bed?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Fever / No Fever,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Consume fruits and/or vegetables?,true,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Follow a gluten-free diet?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Hydrate sufficiently?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Injured / Not Injured,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Follow an intermittent fasting diet?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Eat any food close to bedtime?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Consume meat?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,See direct sunlight upon waking up?,true,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Read (non-screened device) while in bed?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Use a sauna?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Share your bed?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Sick / Not Sick,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Sleep in the same bed as usual?,true,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Snack in between meals?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Experience any stress?,false,
2023-01-25 00:52:35,2023-01-25 23:58:48,UTC-06:00,Work late?,true,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Consume added sugar?,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Travel on a plane?,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Have any alcoholic drinks?,true,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Dim lights after sunset?,true,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Have any caffeine? ,true,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Experiencing COVID-19 symptoms?,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Consume dairy?,true,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,View a screened device while in bed?,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Fever / No Fever,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Consume fruits and/or vegetables?,true,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Follow a gluten-free diet?,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Hydrate sufficiently?,true,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Injured / Not Injured,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Follow an intermittent fasting diet?,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Eat any food close to bedtime?,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Consume meat?,true,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,See direct sunlight upon waking up?,true,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Read (non-screened device) while in bed?,false,
2023-01-22 22:44:39,2023-01-24 00:29:00,UTC-06:00,Use a sauna?,false,
